,cluster,year,month,day,datetime,maximum,site,Max PM2.5
101,3,2010.0,9.0,10.0,2010-09-10,29.0,Conroe Relocated C78/A321,11.72125
102,6,2010.0,9.0,11.0,2010-09-11,37.0,Wallisville Road C617,8.76125
103,15,2010.0,9.0,12.0,2010-09-12,51.0,Seabrook Friendship Park C45,10.48541667
104,12,2010.0,9.0,13.0,2010-09-13,77.0,Houston Croquet C409,16.55125
105,13,2010.0,9.0,14.0,2010-09-14,87.0,Houston Aldine C8/AF108/X150,19.0775
106,14,2010.0,9.0,15.0,2010-09-15,94.0,Northwest Harris Co. C26/A110/X154,15.84608696
107,10,2010.0,9.0,16.0,2010-09-16,62.0,Northwest Harris Co. C26/A110/X154,13.00541667
108,10,2010.0,9.0,17.0,2010-09-17,48.0,Northwest Harris Co. C26/A110/X154,12.81291667
109,5,2010.0,9.0,18.0,2010-09-18,41.0,Northwest Harris Co. C26/A110/X154,11.53875
110,5,2010.0,9.0,19.0,2010-09-19,41.0,Wallisville Road C617,13.69041667
111,5,2010.0,9.0,20.0,2010-09-20,40.0,Manvel Croix Park C84,13.34041667
112,3,2010.0,9.0,21.0,2010-09-21,46.0,Northwest Harris Co. C26/A110/X154,11.62916667
113,3,2010.0,9.0,22.0,2010-09-22,43.0,Northwest Harris Co. C26/A110/X154,9.299583333
114,3,2010.0,9.0,23.0,2010-09-23,37.0,Conroe Relocated C78/A321,10.79583333
115,2,2010.0,9.0,24.0,2010-09-24,43.0,Northwest Harris Co. C26/A110/X154,10.97
116,9,2010.0,9.0,25.0,2010-09-25,62.0,Manvel Croix Park C84,11.87541667
117,11,2010.0,9.0,26.0,2010-09-26,52.0,Manvel Croix Park C84,11.6675
118,7,2010.0,9.0,27.0,2010-09-27,54.0,Manvel Croix Park C84,10.19125
119,7,2010.0,9.0,28.0,2010-09-28,77.0,Seabrook Friendship Park C45,13.10727273
120,7,2010.0,9.0,29.0,2010-09-29,78.0,Galveston 99th St. C1034/A320/X183,15.16166667
121,7,2010.0,9.0,30.0,2010-09-30,88.0,Manvel Croix Park C84,20.29333333
122,12,2011.0,6.0,1.0,2011-06-01,78.0,Northwest Harris Co. C26/A110/X154,11.31708333
