cluster,datestring,year,month,day,max D8HO,month_string,site
12,2011-07-24,2011,7,24,39,july.csv,
12,2011-07-25,2011,7,25,43,july.csv,
13,2011-07-26,2011,7,26,51,july.csv,
6,2011-07-27,2011,7,27,45,july.csv,
5,2011-07-28,2011,7,28,46,july.csv,
4,2011-07-29,2011,7,29,32,july.csv,
8,2011-07-30,2011,7,30,52,july.csv,
8,2011-07-31,2011,7,31,70,july.csv,
12,2011-08-01,2011,8,1,77,august.csv,
12,2011-08-02,2011,8,2,73,august.csv,
13,2011-08-03,2011,8,3,60,august.csv,
9,2011-08-04,2011,8,4,56,august.csv,
8,2011-08-05,2011,8,5,51,august.csv,
8,2011-08-06,2011,8,6,52,august.csv,
8,2011-08-07,2011,8,7,36,august.csv,
15,2011-08-08,2011,8,8,39,august.csv,
15,2011-08-09,2011,8,9,36,august.csv,
11,2011-08-10,2011,8,10,45,august.csv,
11,2011-08-11,2011,8,11,48,august.csv,
15,2011-08-12,2011,8,12,49,august.csv,
15,2011-08-13,2011,8,13,37,august.csv,
14,2011-08-14,2011,8,14,49,august.csv,
15,2011-08-15,2011,8,15,60,august.csv,
15,2011-08-16,2011,8,16,64,august.csv,
12,2011-08-17,2011,8,17,73,august.csv,
12,2011-08-18,2011,8,18,75,august.csv,
13,2011-08-19,2011,8,19,89,august.csv,
10,2011-08-20,2011,8,20,71,august.csv,
9,2011-08-21,2011,8,21,53,august.csv,
12,2011-08-22,2011,8,22,81,august.csv,
13,2011-08-23,2011,8,23,74,august.csv,
14,2011-08-24,2011,8,24,77,august.csv,
10,2011-08-25,2011,8,25,73,august.csv,
14,2011-08-26,2011,8,26,99,august.csv,
13,2011-08-27,2011,8,27,88,august.csv,
14,2011-08-28,2011,8,28,99,august.csv,
11,2011-08-29,2011,8,29,99,august.csv,
11,2011-08-30,2011,8,30,95,august.csv,
6,2011-08-31,2011,8,31,83,august.csv,
5,2011-09-01,2011,9,1,58,september.csv,
5,2011-09-02,2011,9,2,48,september.csv,
6,2011-09-03,2011,9,3,47,september.csv,
7,2011-09-04,2011,9,4,47,september.csv,
7,2011-09-05,2011,9,5,63,september.csv,
7,2011-09-06,2011,9,6,89,september.csv,
11,2011-09-07,2011,9,7,80,september.csv,
14,2011-09-08,2011,9,8,94,september.csv,
11,2011-09-09,2011,9,9,91,september.csv,
7,2011-09-10,2011,9,10,84,september.csv,
15,2011-09-11,2011,9,11,83,september.csv,
12,2011-09-12,2011,9,12,82,september.csv,
12,2011-09-13,2011,9,13,70,september.csv,
13,2011-09-14,2011,9,14,80,september.csv,
11,2011-09-15,2011,9,15,85,september.csv,
1,2011-09-16,2011,9,16,78,september.csv,
0,2011-09-17,2011,9,17,56,september.csv,
0,2011-09-18,2011,9,18,41,september.csv,
15,2011-09-19,2011,9,19,77,september.csv,
15,2011-09-20,2011,9,20,82,september.csv,
11,2011-09-21,2011,9,21,84,september.csv,
15,2011-09-22,2011,9,22,85,september.csv,
15,2011-09-23,2011,9,23,93,september.csv,
15,2011-09-24,2011,9,24,92,september.csv,
11,2011-09-25,2011,9,25,55,september.csv,
7,2011-09-26,2011,9,26,52,september.csv,
11,2011-09-27,2011,9,27,43,september.csv,
11,2011-09-28,2011,9,28,49,september.csv,
11,2011-09-29,2011,9,29,64,september.csv,
11,2011-09-30,2011,9,30,78,september.csv,
7,2012-06-01,2012,6,1,99,june.csv,
7,2012-06-02,2012,6,2,62,june.csv,
7,2012-06-03,2012,6,3,42,june.csv,
6,2012-06-04,2012,6,4,54,june.csv,
7,2012-06-05,2012,6,5,79,june.csv,
7,2012-06-06,2012,6,6,75,june.csv,
3,2012-06-07,2012,6,7,85,june.csv,
7,2012-06-08,2012,6,8,67,june.csv,
7,2012-06-09,2012,6,9,76,june.csv,
3,2012-06-10,2012,6,10,53,june.csv,
2,2012-06-11,2012,6,11,40,june.csv,
12,2012-06-12,2012,6,12,38,june.csv,
13,2012-06-13,2012,6,13,50,june.csv,
2,2012-06-14,2012,6,14,47,june.csv,
1,2012-06-15,2012,6,15,47,june.csv,
1,2012-06-16,2012,6,16,60,june.csv,
5,2012-06-17,2012,6,17,74,june.csv,
7,2012-06-18,2012,6,18,54,june.csv,
3,2012-06-19,2012,6,19,36,june.csv,
3,2012-06-20,2012,6,20,46,june.csv,
2,2012-06-21,2012,6,21,66,june.csv,
11,2012-06-22,2012,6,22,68,june.csv,
7,2012-06-23,2012,6,23,67,june.csv,
6,2012-06-24,2012,6,24,71,june.csv,
14,2012-06-25,2012,6,25,94,june.csv,
11,2012-06-26,2012,6,26,99,june.csv,
11,2012-06-27,2012,6,27,99,june.csv,
8,2012-06-28,2012,6,28,75,june.csv,
12,2012-06-29,2012,6,29,64,june.csv,
9,2012-06-30,2012,6,30,35,june.csv,
1,2012-07-01,2012,7,1,30,july.csv,
1,2012-07-02,2012,7,2,49,july.csv,
0,2012-07-03,2012,7,3,45,july.csv,
1,2012-07-04,2012,7,4,36,july.csv,
0,2012-07-05,2012,7,5,49,july.csv,
4,2012-07-06,2012,7,6,58,july.csv,
8,2012-07-07,2012,7,7,46,july.csv,
8,2012-07-08,2012,7,8,32,july.csv,
13,2012-07-09,2012,7,9,30,july.csv,
14,2012-07-10,2012,7,10,34,july.csv,
10,2012-07-11,2012,7,11,28,july.csv,
10,2012-07-12,2012,7,12,7,july.csv,
9,2012-07-13,2012,7,13,45,july.csv,
13,2012-07-14,2012,7,14,49,july.csv,
13,2012-07-15,2012,7,15,44,july.csv,
4,2012-07-16,2012,7,16,48,july.csv,
0,2012-07-17,2012,7,17,43,july.csv,
5,2012-07-18,2012,7,18,56,july.csv,
8,2012-07-19,2012,7,19,41,july.csv,
12,2012-07-20,2012,7,20,55,july.csv,
12,2012-07-21,2012,7,21,48,july.csv,
12,2012-07-22,2012,7,22,41,july.csv,
12,2012-07-23,2012,7,23,44,july.csv,
12,2012-07-24,2012,7,24,45,july.csv,
12,2012-07-25,2012,7,25,36,july.csv,
0,2012-07-26,2012,7,26,32,july.csv,
15,2012-07-27,2012,7,27,42,july.csv,
12,2012-07-28,2012,7,28,59,july.csv,
12,2012-07-29,2012,7,29,58,july.csv,
12,2012-07-30,2012,7,30,46,july.csv,
12,2012-07-31,2012,7,31,42,july.csv,
12,2012-08-01,2012,8,1,55,august.csv,
12,2012-08-02,2012,8,2,48,august.csv,
14,2012-08-03,2012,8,3,48,august.csv,
5,2012-08-04,2012,8,4,47,august.csv,
8,2012-08-05,2012,8,5,39,august.csv,
12,2012-08-06,2012,8,6,81,august.csv,
12,2012-08-07,2012,8,7,89,august.csv,
13,2012-08-08,2012,8,8,66,august.csv,
13,2012-08-09,2012,8,9,54,august.csv,
15,2012-08-10,2012,8,10,52,august.csv,
15,2012-08-11,2012,8,11,48,august.csv,
15,2012-08-12,2012,8,12,41,august.csv,
14,2012-08-13,2012,8,13,46,august.csv,
13,2012-08-14,2012,8,14,49,august.csv,
15,2012-08-15,2012,8,15,35,august.csv,
1,2012-08-16,2012,8,16,43,august.csv,
13,2012-08-17,2012,8,17,46,august.csv,
15,2012-08-18,2012,8,18,28,august.csv,
7,2012-08-19,2012,8,19,57,august.csv,
11,2012-08-20,2012,8,20,97,august.csv,
11,2012-08-21,2012,8,21,80,august.csv,
15,2012-08-22,2012,8,22,68,august.csv,
14,2012-08-23,2012,8,23,50,august.csv,
0,2012-08-24,2012,8,24,38,august.csv,
2,2012-08-25,2012,8,25,29,august.csv,
2,2012-08-26,2012,8,26,50,august.csv,
10,2012-08-27,2012,8,27,74,august.csv,
14,2012-08-28,2012,8,28,71,august.csv,
11,2012-08-29,2012,8,29,56,august.csv,
7,2012-08-30,2012,8,30,62,august.csv,
6,2012-08-31,2012,8,31,47,august.csv,
8,2012-09-01,2012,9,1,27,september.csv,
12,2012-09-02,2012,9,2,36,september.csv,
12,2012-09-03,2012,9,3,40,september.csv,
12,2012-09-04,2012,9,4,49,september.csv,
14,2012-09-05,2012,9,5,45,september.csv,
15,2012-09-06,2012,9,6,55,september.csv,
14,2012-09-07,2012,9,7,59,september.csv,
11,2012-09-08,2012,9,8,56,september.csv,
15,2012-09-09,2012,9,9,67,september.csv,
14,2012-09-10,2012,9,10,77,september.csv,
