cluster,year,month,day,date,maximum,site
15,2011,8,9,2011-08-09,34,Conroe Relocated C78/A321
11,2011,8,10,2011-08-10,44,Conroe Relocated C78/A321
11,2011,8,11,2011-08-11,45,Conroe Relocated C78/A321
15,2011,8,12,2011-08-12,49,Conroe Relocated C78/A321
15,2011,8,13,2011-08-13,34,Conroe Relocated C78/A321
14,2011,8,14,2011-08-14,49,Wallisville Road C617
15,2011,8,15,2011-08-15,60,Conroe Relocated C78/A321
15,2011,8,16,2011-08-16,63,Conroe Relocated C78/A321
12,2011,8,17,2011-08-17,72,Conroe Relocated C78/A321
12,2011,8,18,2011-08-18,72,Wallisville Road C617
13,2011,8,19,2011-08-19,89,Wallisville Road C617
10,2011,8,20,2011-08-20,71,Northwest Harris Co. C26/A110/X154
9,2011,8,21,2011-08-21,48,Houston East C1/G316
12,2011,8,22,2011-08-22,66,Conroe Relocated C78/A321
13,2011,8,23,2011-08-23,66,Conroe Relocated C78/A321
14,2011,8,24,2011-08-24,63,Houston Aldine C8/AF108/X150
10,2011,8,25,2011-08-25,63,Wallisville Road C617
14,2011,8,26,2011-08-26,100,Houston Aldine C8/AF108/X150
13,2011,8,27,2011-08-27,88,Manvel Croix Park C84
14,2011,8,28,2011-08-28,101,Houston Croquet C409
11,2011,8,29,2011-08-29,99,Houston Bayland Park C53/A146
11,2011,8,30,2011-08-30,100,Northwest Harris Co. C26/A110/X154
6,2011,8,31,2011-08-31,83,Northwest Harris Co. C26/A110/X154
5,2011,9,1,2011-09-01,58,Houston Croquet C409
5,2011,9,2,2011-09-02,48,Manvel Croix Park C84
6,2011,9,3,2011-09-03,43,Lake Jackson C1016
7,2011,9,4,2011-09-04,47,Northwest Harris Co. C26/A110/X154
7,2011,9,5,2011-09-05,63,Manvel Croix Park C84
7,2011,9,6,2011-09-06,89,Manvel Croix Park C84
11,2011,9,7,2011-09-07,80,Manvel Croix Park C84
14,2011,9,8,2011-09-08,108,Manvel Croix Park C84
11,2011,9,9,2011-09-09,91,Wallisville Road C617
7,2011,9,10,2011-09-10,84,Wallisville Road C617
15,2011,9,11,2011-09-11,83,Wallisville Road C617
12,2011,9,12,2011-09-12,82,Wallisville Road C617
12,2011,9,13,2011-09-13,63,Northwest Harris Co. C26/A110/X154
13,2011,9,14,2011-09-14,71,Conroe Relocated C78/A321
11,2011,9,15,2011-09-15,85,Houston Aldine C8/AF108/X150
1,2011,9,16,2011-09-16,70,Northwest Harris Co. C26/A110/X154
0,2011,9,17,2011-09-17,56,Wallisville Road C617
0,2011,9,18,2011-09-18,41,Conroe Relocated C78/A321
15,2011,9,19,2011-09-19,72,Wallisville Road C617
15,2011,9,20,2011-09-20,80,HRM-3 Haden Road C603/A114
11,2011,9,21,2011-09-21,84,Manvel Croix Park C84
15,2011,9,22,2011-09-22,85,Manvel Croix Park C84
15,2011,9,23,2011-09-23,78,Manvel Croix Park C84
15,2011,9,24,2011-09-24,92,Wallisville Road C617
11,2011,9,25,2011-09-25,53,Galveston 99th St. C1034/A320/X183
7,2011,9,26,2011-09-26,44,Houston Aldine C8/AF108/X150
11,2011,9,27,2011-09-27,40,Houston Aldine C8/AF108/X150
11,2011,9,28,2011-09-28,45,Houston East C1/G316
11,2011,9,29,2011-09-29,51,Wallisville Road C617
11,2011,9,30,2011-09-30,75,Manvel Croix Park C84
7,2012,6,1,2012-06-01,104,Houston Bayland Park C53/A146
7,2012,6,2,2012-06-02,60,Galveston 99th St. C1034/A320/X183
7,2012,6,3,2012-06-03,41,Conroe Relocated C78/A321
6,2012,6,4,2012-06-04,51,Conroe Relocated C78/A321
7,2012,6,5,2012-06-05,69,Lang C408
7,2012,6,6,2012-06-06,75,Northwest Harris Co. C26/A110/X154
3,2012,6,7,2012-06-07,85,Houston Monroe C406
7,2012,6,8,2012-06-08,63,Houston Westhollow C410/C3003
7,2012,6,9,2012-06-09,76,Houston Croquet C409
3,2012,6,10,2012-06-10,51,Conroe Relocated C78/A321
2,2012,6,11,2012-06-11,40,Conroe Relocated C78/A321
12,2012,6,12,2012-06-12,38,Conroe Relocated C78/A321
13,2012,6,13,2012-06-13,50,Conroe Relocated C78/A321
2,2012,6,14,2012-06-14,46,Conroe Relocated C78/A321
1,2012,6,15,2012-06-15,47,Conroe Relocated C78/A321
1,2012,6,16,2012-06-16,48,Seabrook Friendship Park C45
5,2012,6,17,2012-06-17,68,Houston Westhollow C410/C3003
7,2012,6,18,2012-06-18,54,Northwest Harris Co. C26/A110/X154
3,2012,6,19,2012-06-19,33,Seabrook Friendship Park C45
3,2012,6,20,2012-06-20,40,Houston Aldine C8/AF108/X150
2,2012,6,21,2012-06-21,64,Manvel Croix Park C84
11,2012,6,22,2012-06-22,68,Manvel Croix Park C84
7,2012,6,23,2012-06-23,67,Manvel Croix Park C84
6,2012,6,24,2012-06-24,71,Manvel Croix Park C84
14,2012,6,25,2012-06-25,94,Manvel Croix Park C84
11,2012,6,26,2012-06-26,136,Manvel Croix Park C84
11,2012,6,27,2012-06-27,99,Northwest Harris Co. C26/A110/X154
8,2012,6,28,2012-06-28,70,Conroe Relocated C78/A321
12,2012,6,29,2012-06-29,56,Conroe Relocated C78/A321
9,2012,6,30,2012-06-30,31,Manvel Croix Park C84
1,2012,7,1,2012-07-01,29,Conroe Relocated C78/A321
1,2012,7,2,2012-07-02,46,Conroe Relocated C78/A321
0,2012,7,3,2012-07-03,36,Conroe Relocated C78/A321
1,2012,7,4,2012-07-04,33,Conroe Relocated C78/A321
0,2012,7,5,2012-07-05,49,Conroe Relocated C78/A321
4,2012,7,6,2012-07-06,51,Wallisville Road C617
8,2012,7,7,2012-07-07,46,Houston Aldine C8/AF108/X150
8,2012,7,8,2012-07-08,30,Conroe Relocated C78/A321
13,2012,7,9,2012-07-09,28,Conroe Relocated C78/A321
