cluster,date,year,month
8,2012-08-05,2012,8
12,2012-08-06,2012,8
12,2012-08-07,2012,8
13,2012-08-08,2012,8
13,2012-08-09,2012,8
15,2012-08-10,2012,8
15,2012-08-11,2012,8
15,2012-08-12,2012,8
14,2012-08-13,2012,8
13,2012-08-14,2012,8
15,2012-08-15,2012,8
1,2012-08-16,2012,8
13,2012-08-17,2012,8
15,2012-08-18,2012,8
7,2012-08-19,2012,8
11,2012-08-20,2012,8
11,2012-08-21,2012,8
15,2012-08-22,2012,8
14,2012-08-23,2012,8
0,2012-08-24,2012,8
2,2012-08-25,2012,8
2,2012-08-26,2012,8
10,2012-08-27,2012,8
14,2012-08-28,2012,8
11,2012-08-29,2012,8
7,2012-08-30,2012,8
6,2012-08-31,2012,8
8,2012-09-01,2012,9
12,2012-09-02,2012,9
12,2012-09-03,2012,9
12,2012-09-04,2012,9
14,2012-09-05,2012,9
15,2012-09-06,2012,9
14,2012-09-07,2012,9
11,2012-09-08,2012,9
15,2012-09-09,2012,9
14,2012-09-10,2012,9
13,2012-09-11,2012,9
0,2012-09-12,2012,9
0,2012-09-13,2012,9
13,2012-09-14,2012,9
13,2012-09-15,2012,9
14,2012-09-16,2012,9
11,2012-09-17,2012,9
7,2012-09-18,2012,9
11,2012-09-19,2012,9
15,2012-09-20,2012,9
11,2012-09-21,2012,9
11,2012-09-22,2012,9
13,2012-09-23,2012,9
12,2012-09-24,2012,9
0,2012-09-25,2012,9
2,2012-09-26,2012,9
1,2012-09-27,2012,9
1,2012-09-28,2012,9
2,2012-09-29,2012,9
7,2012-09-30,2012,9
3,2013-06-01,2013,6
7,2013-06-02,2013,6
7,2013-06-03,2013,6
7,2013-06-04,2013,6
7,2013-06-05,2013,6
7,2013-06-06,2013,6
7,2013-06-07,2013,6
7,2013-06-08,2013,6
3,2013-06-09,2013,6
11,2013-06-10,2013,6
15,2013-06-11,2013,6
4,2013-06-12,2013,6
12,2013-06-13,2013,6
9,2013-06-14,2013,6
1,2013-06-15,2013,6
0,2013-06-16,2013,6
13,2013-06-17,2013,6
15,2013-06-18,2013,6
15,2013-06-19,2013,6
1,2013-06-20,2013,6
0,2013-06-21,2013,6
