null
"[5, 'August 2011', 51, 'U of H-Sugarland C696']"
"[6, 'August 2011', 52, 'UH Coastal Center C697']"
"[7, 'August 2011', 36, 'UH Coastal Center C697']"
"[8, 'August 2011', 38, 'U of H-Sugarland C696']"
"[9, 'August 2011', 35, 'U of H-Sugarland C696']"
"[10, 'August 2011', 45, 'U of H-Sugarland C696']"
"[11, 'August 2011', 48, 'U of H-Sugarland C696']"
"[12, 'August 2011', 49, 'Houston Bayland Park C53/A146 ']"
"[13, 'August 2011', 37, 'UH Coastal Center C697']"
"[14, 'August 2011', 49, 'HRM-3 Haden Road C603/A114 ']"
"[15, 'August 2011', 60, 'Houston Bayland Park C53/A146 ']"
"[16, 'August 2011', 64, 'U of H-Sugarland C696']"
"[17, 'August 2011', 73, 'UH Coastal Center C697']"
"[18, 'August 2011', 75, 'UH Coastal Center C697']"
"[19, 'August 2011', 89, 'HRM-3 Haden Road C603/A114 ']"
"[20, 'August 2011', 71, 'Channelview C15/AH115 ']"
"[21, 'August 2011', 53, 'UH Coastal Center C697']"
"[22, 'August 2011', 81, 'U of H-Sugarland C696']"
"[23, 'August 2011', 74, 'UH Moody Tower C695']"
"[24, 'August 2011', 66, 'UH Moody Tower C695']"
"[25, 'August 2011', 73, 'U of H-Sugarland C696']"
"[26, 'August 2011', 100, 'Houston East C1/G316']"
"[27, 'August 2011', 88, 'Houston Regional Office C81']"
"[28, 'August 2011', 101, 'Lang C408']"
"[29, 'August 2011', 99, 'Seabrook Friendship Park C45']"
"[30, 'August 2011', 100, 'Channelview C15/AH115 ']"
"[31, 'August 2011', 83, 'Channelview C15/AH115 ']"
"[1, 'September 2011', 58, 'Houston Monroe C406']"
"[2, 'September 2011', 48, 'Houston Regional Office C81']"
"[3, 'September 2011', 47, 'HRM-3 Haden Road C603/A114 ']"
"[4, 'September 2011', 47, 'Channelview C15/AH115 ']"
"[5, 'September 2011', 63, 'Houston Regional Office C81']"
"[6, 'September 2011', 89, 'Houston Regional Office C81']"
"[7, 'September 2011', 80, 'Houston Regional Office C81']"
"[8, 'September 2011', 108, 'Houston Regional Office C81']"
"[9, 'September 2011', 91, 'HRM-3 Haden Road C603/A114 ']"
"[10, 'September 2011', 84, 'HRM-3 Haden Road C603/A114 ']"
"[11, 'September 2011', 83, 'HRM-3 Haden Road C603/A114 ']"
"[12, 'September 2011', 82, 'HRM-3 Haden Road C603/A114 ']"
"[13, 'September 2011', 70, 'U of H-Sugarland C696']"
"[14, 'September 2011', 80, 'U of H-Sugarland C696']"
"[15, 'September 2011', 85, 'Houston East C1/G316']"
"[16, 'September 2011', 78, 'UH Coastal Center C697']"
"[17, 'September 2011', 56, 'HRM-3 Haden Road C603/A114 ']"
"[18, 'September 2011', 41, 'Houston Bayland Park C53/A146 ']"
"[19, 'September 2011', 77, 'UH WG Jones Forest C698']"
"[20, 'September 2011', 82, 'Texas City 34th St. C620 ']"
"[21, 'September 2011', 84, 'Conroe Relocated C78/A321']"
"[22, 'September 2011', 85, 'Conroe Relocated C78/A321']"
"[23, 'September 2011', 93, 'Wallisville Road C617 ']"
"[24, 'September 2011', 92, 'HRM-3 Haden Road C603/A114 ']"
"[25, 'September 2011', 55, 'UH WG Jones Forest C698']"
"[26, 'September 2011', 52, 'UH Coastal Center C697']"
"[27, 'September 2011', 43, 'U of H-Sugarland C696']"
"[28, 'September 2011', 49, 'U of H-Sugarland C696']"
"[29, 'September 2011', 51, 'Park Place C416']"
"[30, 'September 2011', 78, 'HRM-3 Haden Road C603/A114 ']"
"[1, 'June 2012', 114, 'Mustang Bayou C619 ']"
"[2, 'June 2012', 59, 'UH Coastal Center C697']"
"[3, 'June 2012', 42, 'U of H-Sugarland C696']"
"[4, 'June 2012', 54, 'U of H-Sugarland C696']"
"[5, 'June 2012', 79, 'Mustang Bayou C619 ']"
"[6, 'June 2012', 75, 'Channelview C15/AH115 ']"
"[7, 'June 2012', 85, 'Manvel Croix Park C84']"
"[8, 'June 2012', 67, 'Wallisville Road C617 ']"
"[9, 'June 2012', 76, 'Houston Monroe C406']"
"[10, 'June 2012', 51, 'Houston Bayland Park C53/A146 ']"
"[11, 'June 2012', 40, 'Houston Bayland Park C53/A146 ']"
"[12, 'June 2012', 38, 'Houston Bayland Park C53/A146 ']"
"[13, 'June 2012', 50, 'Houston Bayland Park C53/A146 ']"
"[14, 'June 2012', 47, 'U of H-Sugarland C696']"
"[15, 'June 2012', 47, 'Houston Bayland Park C53/A146 ']"
"[16, 'June 2012', 60, 'Danciger C618 ']"
"[17, 'June 2012', 74, 'Texas City 34th St. C620 ']"
"[18, 'June 2012', 54, 'Channelview C15/AH115 ']"
"[19, 'June 2012', 36, 'Danciger C618 ']"
"[20, 'June 2012', 46, 'Mustang Bayou C619 ']"
"[21, 'June 2012', 66, 'UH Moody Tower C695']"
"[22, 'June 2012', 68, 'Conroe Relocated C78/A321']"
"[23, 'June 2012', 67, 'Conroe Relocated C78/A321']"
"[24, 'June 2012', 71, 'Conroe Relocated C78/A321']"
"[25, 'June 2012', 94, 'Conroe Relocated C78/A321']"
"[26, 'June 2012', 136, 'Conroe Relocated C78/A321']"
"[27, 'June 2012', 99, 'Channelview C15/AH115 ']"
"[28, 'June 2012', 75, 'UH Moody Tower C695']"
"[29, 'June 2012', 64, 'UH Moody Tower C695']"
"[30, 'June 2012', 35, 'Danciger C618 ']"
"[1, 'July 2012', 29, 'Houston Bayland Park C53/A146 ']"
"[2, 'July 2012', 46, 'Houston Bayland Park C53/A146 ']"
"[3, 'July 2012', 36, 'Houston Bayland Park C53/A146 ']"
"[4, 'July 2012', 45, 'U of H-Sugarland C696']"
"[5, 'July 2012', 49, 'Houston Bayland Park C53/A146 ']"
"[6, 'July 2012', 55, 'Park Place C416']"
"[7, 'July 2012', 59, 'Danciger C618 ']"
"[8, 'July 2012', 56, 'Houston Texas Avenue C411']"
"[9, 'July 2012', 67, 'Houston Texas Avenue C411']"
"[10, 'July 2012', 63, 'Houston Westhollow C410/C3003']"
"[11, 'July 2012', 65, 'UH Moody Tower C695']"
"[12, 'July 2012', 46, 'UH Moody Tower C695']"
"[13, 'July 2012', 42, 'Texas City 34th St. C620 ']"
"[14, 'July 2012', 49, 'Houston East C1/G316']"
"[15, 'July 2012', 56, 'Mustang Bayou C619 ']"
"[16, 'July 2012', 65, 'Wallisville Road C617 ']"
"[17, 'July 2012', 52, 'Wallisville Road C617 ']"
"[18, 'July 2012', 53, 'Wallisville Road C617 ']"
"[19, 'July 2012', 65, 'Danciger C618 ']"
"[20, 'July 2012', 76, 'Danciger C618 ']"
"[21, 'July 2012', 69, 'Danciger C618 ']"
"[22, 'July 2012', 82, 'Wallisville Road C617 ']"
"[23, 'July 2012', 70, 'Danciger C618 ']"
"[24, 'July 2012', 72, 'UH Moody Tower C695']"
"[25, 'July 2012', 59, 'HRM-3 Haden Road C603/A114 ']"
"[26, 'July 2012', 67, 'Texas City 34th St. C620 ']"
"[27, 'July 2012', 52, 'Mustang Bayou C619 ']"
"[28, 'July 2012', 59, 'Monitoring_Site']"
"[29, 'July 2012', 50, 'Monitoring_Site']"
"[30, 'July 2012', 41, 'Houston East C1/G316']"

"[1, 'August 2012', 60, 'Wallisville Road C617 ']"
"[2, 'August 2012', 69, 'Texas City 34th St. C620 ']"
"[3, 'August 2012', 79, 'Houston Croquet C409']"
"[4, 'August 2012', 70, 'UH Moody Tower C695']"
"[5, 'August 2012', 69, 'Texas City 34th St. C620 ']"
"[6, 'August 2012', 79, 'Northwest Harris Co. C26/A110/X154']"
"[7, 'August 2012', 86, 'Lang C408']"
"[8, 'August 2012', 59, 'Houston Aldine C8/AF108/X150 ']"
"[9, 'August 2012', 45, 'Houston Texas Avenue C411']"
"[10, 'August 2012', 43, 'Danciger C618 ']"
"[11, 'August 2012', 55, 'Danciger C618 ']"
"[12, 'August 2012', 58, 'UH Moody Tower C695']"
"[13, 'August 2012', 41, 'Houston Westhollow C410/C3003']"
"[14, 'August 2012', 41, 'Park Place C416']"
"[15, 'August 2012', 50, 'Danciger C618 ']"
"[16, 'August 2012', 46, 'Wallisville Road C617 ']"
"[17, 'August 2012', 39, 'Wallisville Road C617 ']"
"[18, 'August 2012', 47, 'Houston Texas Avenue C411']"
"[19, 'August 2012', 69, 'Danciger C618 ']"
"[20, 'August 2012', 89, 'Hou.DeerPrk2 C35/235/1001/AFH139FP239']"
"[21, 'August 2012', 80, 'Conroe Relocated C78/A321']"
"[22, 'August 2012', 68, 'Seabrook Friendship Park C45']"
"[23, 'August 2012', 61, 'U of H-Sugarland C696']"
"[24, 'August 2012', 51, 'U of H-Sugarland C696']"
"[25, 'August 2012', 40, 'U of H-Sugarland C696']"
"[26, 'August 2012', 44, 'Houston East C1/G316']"
"[27, 'August 2012', 74, 'Conroe Relocated C78/A321']"
"[28, 'August 2012', 70, 'Conroe Relocated C78/A321']"
"[29, 'August 2012', 56, 'Conroe Relocated C78/A321']"
"[30, 'August 2012', 64, 'U of H-Sugarland C696']"
"[31, 'August 2012', 51, 'Houston Westhollow C410/C3003']"
"[1, 'September 2012', 54, 'Houston Texas Avenue C411']"
"[2, 'September 2012', 45, 'Texas City 34th St. C620 ']"
"[3, 'September 2012', 38, 'Park Place C416']"
"[4, 'September 2012', 47, 'Texas City 34th St. C620 ']"
"[5, 'September 2012', 50, 'UH Moody Tower C695']"
"[6, 'September 2012', 52, 'Houston East C1/G316']"
"[7, 'September 2012', 71, 'HRM-3 Haden Road C603/A114 ']"
"[8, 'September 2012', 63, 'HRM-3 Haden Road C603/A114 ']"
"[9, 'September 2012', 63, 'Conroe Relocated C78/A321']"
"[10, 'September 2012', 77, 'Houston Monroe C406']"
"[11, 'September 2012', 80, 'Channelview C15/AH115 ']"
"[12, 'September 2012', 48, 'Houston Bayland Park C53/A146 ']"
"[13, 'September 2012', 39, 'Danciger C618 ']"
"[14, 'September 2012', 43, 'Houston Westhollow C410/C3003']"
"[15, 'September 2012', 61, 'Conroe Relocated C78/A321']"
"[16, 'September 2012', 65, 'Monitoring_Site']"
"[17, 'September 2012', 56, 'HRM-3 Haden Road C603/A114 ']"
"[18, 'September 2012', 59, 'Conroe Relocated C78/A321']"
"[19, 'September 2012', 71, 'Houston Bayland Park C53/A146 ']"
"[20, 'September 2012', 87, 'Houston Bayland Park C53/A146 ']"
"[21, 'September 2012', 81, 'Channelview C15/AH115 ']"
"[22, 'September 2012', 78, 'Lang C408']"
"[23, 'September 2012', 79, 'Houston North Wayside C405/C1033']"
"[24, 'September 2012', 84, 'Houston Bayland Park C53/A146 ']"
"[25, 'September 2012', 64, 'Houston Bayland Park C53/A146 ']"
"[26, 'September 2012', 68, 'Houston Bayland Park C53/A146 ']"
"[27, 'September 2012', 68, 'Channelview C15/AH115 ']"
"[28, 'September 2012', 46, 'Houston Westhollow C410/C3003']"
"[29, 'September 2012', 43, 'HRM-3 Haden Road C603/A114 ']"
"[30, 'September 2012', 43, 'Conroe Relocated C78/A321']"
"[1, 'June 2013', 33, 'Seabrook Friendship Park C45']"
"[2, 'June 2013', 45, 'Wallisville Road C617 ']"
"[3, 'June 2013', 86, 'Houston Bayland Park C53/A146 ']"
"[4, 'June 2013', 81, 'Houston East C1/G316']"
"[5, 'June 2013', 58, 'Houston North Wayside C405/C1033']"
"[6, 'June 2013', 45, 'U of H-Sugarland C696']"
"[7, 'June 2013', 69, 'Conroe Relocated C78/A321']"
"[8, 'June 2013', 69, 'Houston Bayland Park C53/A146 ']"
"[9, 'June 2013', 30, 'Houston Westhollow C410/C3003']"
"[10, 'June 2013', 71, 'U of H-Sugarland C696']"
"[11, 'June 2013', 29, 'U of H-Sugarland C696']"
"[12, 'June 2013', 43, 'Houston Bayland Park C53/A146 ']"
"[13, 'June 2013', 51, 'Park Place C416']"
"[14, 'June 2013', 75, 'U of H-Sugarland C696']"
"[15, 'June 2013', 51, 'U of H-Sugarland C696']"
"[16, 'June 2013', 28, 'Houston Bayland Park C53/A146 ']"
"[17, 'June 2013', 37, 'Houston Bayland Park C53/A146 ']"
"[18, 'June 2013', 38, 'Park Place C416']"
"[19, 'June 2013', 43, 'UH Moody Tower C695']"
"[20, 'June 2013', 44, 'Houston Bayland Park C53/A146 ']"
"[21, 'June 2013', 51, 'Houston Bayland Park C53/A146 ']"
"[22, 'June 2013', 47, 'Houston Bayland Park C53/A146 ']"
"[23, 'June 2013', 42, 'Houston Bayland Park C53/A146 ']"
"[24, 'June 2013', 46, 'Houston Bayland Park C53/A146 ']"
"[25, 'June 2013', 41, 'Houston Bayland Park C53/A146 ']"
"[26, 'June 2013', 55, 'Houston Bayland Park C53/A146 ']"
"[27, 'June 2013', 54, 'U of H-Sugarland C696']"
"[28, 'June 2013', 62, 'Monitoring_Site']"
"[29, 'June 2013', 64, 'Conroe Relocated C78/A321']"
"[30, 'June 2013', 71, 'Wallisville Road C617 ']"
"[1, 'July 2013', 71, 'Park Place C416']"
"[2, 'July 2013', 84, 'Conroe Relocated C78/A321']"
"[3, 'July 2013', 88, 'Houston North Wayside C405/C1033']"
"[4, 'July 2013', 86, 'Conroe Relocated C78/A321']"
"[5, 'July 2013', 82, 'Seabrook Friendship Park C45']"
"[6, 'July 2013', 59, 'Houston North Wayside C405/C1033']"
"[7, 'July 2013', 39, 'UH Moody Tower C695']"
"[8, 'July 2013', 45, 'Houston Bayland Park C53/A146 ']"
"[9, 'July 2013', 59, 'Houston Bayland Park C53/A146 ']"
"[10, 'July 2013', 55, 'Seabrook Friendship Park C45']"
"[11, 'July 2013', 50, 'Houston East C1/G316']"
"[12, 'July 2013', 69, 'Houston Texas Avenue C411']"
