Date,C1_3,C8_3,C35_3,C45_3,C78_3,C403_3,C416_3,C1034_3
20100825,22.44791667,18.36333333,22.56708333,18.00708333,19.60125,22.275,22.53043478,18.83583333
20100826,22.7025,20.30727273,26.72666667,20.65166667,22.97166667,22.49583333,23.98,20.89916667
20100827,21.7475,19.75125,25.49041667,19.68541667,17.61291667,22.59208333,24.68916667,20.31333333
20100828,14.95291667,14.08666667,15.50916667,12.8475,14.17833333,15.31125,15.14541667,13.345
20100829,8.56625,8.714166667,7.679583333,6.9225,8.16125,8.535,8.178333333,7.51875
20100830,9.033333333,8.004166667,7.725,6.608333333,6.567083333,8.795416667,6.960833333,4.764583333
20100831,9.4775,6.72,8.365263158,5.358333333,4.614166667,7.860833333,6.303333333,4.29375
20100901,6.454166667,6.66826087,7.29,5.52125,5.1,7.086666667,6.72625,4.382083333
20100902,9.22,9.790833333,9.00625,7.147916667,6.950833333,9.3825,8.048333333,6.130833333
20100903,7.24,6.358333333,8.245,6.779583333,6.534166667,7.630416667,7.84,6.36375
20100904,12.55875,13.65,17.2025,12.31458333,13.09125,12.80541667,16.57666667,13.08708333
20100905,15.29041667,15.27291667,15.86791667,12.30875,15.68083333,15.66208333,15.39916667,11.79875
20100906,7.703333333,6.66375,5.340833333,6.10125,9.82625,6.898333333,4.785833333,5.943333333
20100907,12.795,9.4525,13.3973913,12.62166667,4.6465,12.80916667,12.74153846,12.32
20100908,16.47958333,16.49791667,16.49,13.50958333,16.63125,17.785,16.42470588,11.32916667
20100909,13.20958333,14.59416667,13.845,10.74958333,15.2175,15.77583333,14.045,8.442083333
20100910,8.42,10.82208333,8.9875,7.264583333,11.72125,10.77916667,8.63125,5.655833333
20100911,7.50625,8.76125,6.72125,5.527083333,8.660833333,7.610416667,6.90625,4.48125
20100912,9.033333333,8.82375,9.827083333,8.76125,8.131666667,10.48541667,10.38958333,6.840833333
20100913,12.76826087,15.22125,15.90458333,7.871111111,12.18454545,13.48666667,16.55125,12.82083333
20100914,17.94833333,18.32625,16.87666667,6.732105263,19.0775,17.51083333,15.55095238,11.28727273
20100915,15.29,15.57083333,13.95833333,8.103478261,15.84608696,14.08772727,12.86875,7.70375
20100916,11.19208333,9.876666667,10.65208333,8.553333333,11.02875,13.00541667,12.43083333,9.694583333
20100917,10.46333333,11.43583333,9.154583333,7.851666667,12.81291667,11.18833333,10.17291667,5.85
20100918,10.71416667,9.910833333,9.770416667,7.461666667,11.53875,10.69625,10.21875,7.477916667
20100919,10.69083333,10.78666667,10.62958333,8.852916667,13.02875,12.27875,13.69041667,8.096666667
20100920,11.02291667,11.24333333,8.98375,7.242083333,13.34041667,10.81333333,10.0325,7.885833333
20100921,8.9305,9.0975,9.779166667,7.939166667,10.47083333,11.62916667,9.57125,7.701666667
20100922,8.73,7.765416667,7.67375,6.851666667,8.69,9.299583333,6.602083333,8.1775
20100923,9.295416667,8.655416667,8.767083333,7.137083333,10.79583333,10.14416667,7.547916667,8.254583333
