June 2023
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Sheldon C551,1,Non,54,66,62,45,35,49,56,52,77,41,39,39,34,30,28,26,36,17,24,29,42,40,32,22,23,26,35,34,36,34
,Baytown Wetlands Center C552,1,Non,48,56,55,56,37,55,67,58,72,37,34,32,29,27,28,20,28,16,20,21,32,34,22,18,19,19,20,21,24,23
,Crosby Library C553,1,Non,54,69,70,40,43,49,58,56,76,46,43,46,36,35,34,29,36,19,30,36,43,41,36,25,24,29,39,39,34,35
,West Houston C554,1,Non,57,NV,51,51,53,73,63,NV,62,43,38,40,38,30,31,30,35,21,25,26,46,59,34,23,24,27,25,34,34,35
,La Porte Sylvan Beach C556,1,Non,NA,58,51,72,47,54,75,60,66,43,34,33,30,27,25,18,26,15,21,23,27,33,20,19,19,18,19,19,22,21
,Mercer Arboretum C557,1,Non,73,NV,64,44,44,56,60,56,83,53,49,60,51,42,42,40,46,25,36,45,NV,NA,NA,NA,NA,NV,49,57,48,45
,Tom Bass C558,1,Non,49,59,52,60,57,58,77,58,57,43,37,35,33,28,24,24,31,14,19,NV,37,43,29,18,19,18,20,23,27,26
,Katy Park C559,1,Non,54,62,49,50,48,74,59,53,54,45,39,38,NV,NV,31,29,35,22,24,31,36,57,30,22,24,22,22,28,26,29
,Atascocita C560,1,Non,59,NV,63,41,34,NV,NA,NV,NA,NA,NA,NV,41,35,36,34,42,22,32,35,NV,NA,NA,NA,NA,NA,NA,NA,NV,43
,Meyer Park C561,1,Non,67,83,55,NA,NV,62,59,NV,68,43,40,54,45,34,35,33,40,21,29,32,54,62,42,28,25,35,31,46,38,40
,Bunker Hill Village C562,1,Non,54,64,56,49,54,68,65,49,62,41,39,41,38,31,25,28,33,18,22,25,38,51,33,24,22,23,23,32,25,28
,Huffman Wolf Road C563,1,Non,60,NV,74,43,47,56,60,60,72,58,50,56,47,46,46,43,NV,NA,NA,NV,NV,53,42,37,36,44,48,50,50,46
,HRM-3 Haden Road C603/A114 ,1,Non,63,78,67,57,52,73,83,63,84,49,46,44,41,36,34,29,40,23,28,33,46,47,37,27,26,26,39,35,34,34
,Wallisville Road C617 ,1,Non,55,69,68,51,45,62,71,69,91,46,45,44,37,35,36,28,41,23,30,34,53,44,37,28,28,29,38,35,36,35
,Texas City 34th St. C620 ,1,Non,62,64,56,90,63,55,83,63,66,52,44,40,41,37,30,31,31,25,NA,NA,NA,NA,NA,NV,29,24,25,24,30,30
,UH Moody Tower C695,1,Non,57,71,NA,NA,NA,NV,80,62,68,45,41,39,37,30,28,NV,34,18,22,25,35,48,30,21,NV,21,NV,NV,31,31
,UH WG Jones Forest C698,1,Non,80,83,NA,NA,NA,NV,60,58,66,54,47,64,58,43,45,43,49,28,38,43,NV,NA,NV,40,33,49,44,56,53,52
,Lynchburg Ferry C1015/A165 ,1,Reg,59,67,63,51,47,67,80,58,88,48,42,40,36,34,32,27,35,22,27,31,43,38,30,26,25,25,29,28,33,29
,Lake Jackson C1016 ,1,Reg,53,56,50,56,46,58,NV,54,48,40,38,35,34,30,24,24,27,20,23,23,27,31,24,20,23,21,18,20,25,24
,Baytown Garth C1017,1,Reg,63,79,78,58,51,71,79,79,104,53,52,51,43,40,40,31,45,26,32,37,58,49,41,30,31,32,41,39,40,38
,Galveston 99th St. C1034/A320/X183,1,Reg,58,57,50,80,64,53,71,60,52,46,42,34,34,28,NV,NA,NA,NA,NV,NV,NV,NV,NV,14,17,15,14,14,18,20
,UH Smith Point C1606,1,Non,54,NV,NA,NA,NA,NV,67,60,23,NV,13,12,12,10,8,NV,NV,NV,23,26,30,41,24,22,22,20,19,18,25,24
,Oyster Creek C1607 ,1,Non,53,56,53,60,54,61,58,55,54,43,41,38,36,32,27,25,26,20,24,26,NV,31,25,22,23,21,20,20,NV,26
,UH Launch Trailer C1611,1,Non,60,73,NA,NA,NA,NV,82,63,72,49,45,43,40,35,34,32,42,23,28,NV,NA,55,36,25,26,26,30,34,35,34
,Liberty Sam Houston Library C1626,1,Non,50,NV,NA,NA,NA,NV,NV,57,60,NV,NA,NA,NV,34,40,28,47,16,33,39,NV,NA,NA,NA,NA,NV,NV,46,42,37
