Site/Site AQS/Param/POC,Date (LST),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average,Max
Galveston Airpo/481671034/PM2.5-88101/2,6/5/2019,3,4,6,2,4,1,6,4,3,7,4,6,5,7,5,4,9,5,2,2,4,5,4,-3,4.13,9
Galveston Airpo/481671034/PM2.5-88101/2,6/6/2019,4,4,0,3,4,5,8,4,7,3,7,9,5,5,6,7,12,16,7,0,4,6,4,6,5.67,16
Galveston Airpo/481671034/PM2.5-88101/2,6/7/2019,1,3,2,5,6,4,6,11,8,11,11,9,10,9,13,18,17,20,15,15,7,6,6,2,8.96,20
Galveston Airpo/481671034/PM2.5-88101/2,6/8/2019,5,7,3,5,6,4,8,9,9,11,6,7,6,7,7,13,10,9,6,4,3,7,7,9,7,13
Galveston Airpo/481671034/PM2.5-88101/2,6/9/2019,7,3,7,3,7,6,8,9,11,11,9,11,11,9,12,9,11,10,11,9,13,12,8,11,9.08,13
Galveston Airpo/481671034/PM2.5-88101/2,6/10/2019,8,12,7,12,16,13,17,13,15,17,12,12,9,11,13,11,8,10,8,5,6,12,11,14,11.33,17
Galveston Airpo/481671034/PM2.5-88101/2,6/11/2019,14,15,11,15,13,12,10,12,6,11,7,10,9,7,11,11,7,4,9,9,6,4,11,11,9.79,15
Galveston Airpo/481671034/PM2.5-88101/2,6/12/2019,14,10,7,9,9,10,8,9,8,12,14,10,11,14,10,10,7,11,9,9,8,8,8,9,9.75,14
Galveston Airpo/481671034/PM2.5-88101/2,6/13/2019,11,8,9,8,8,7,4,6,18,19,11,8,12,10,12,16,11,10,11,8,13,16,19,16,11.29,19
Galveston Airpo/481671034/PM2.5-88101/2,6/14/2019,15,14,13,12,10,7,11,10,11,11,13,13,9,9,11,9,4,7,6,6,4,9,10,6,9.58,15
Galveston Airpo/481671034/PM2.5-88101/2,6/15/2019,7,6,6,5,9,9,5,9,11,16,17,16,13,13,14,17,15,13,14,10,17,16,11,10,11.63,17
Galveston Airpo/481671034/PM2.5-88101/2,6/16/2019,19,18,15,16,19,18,21,19,17,21,17,18,19,14,14,13,14,11,12,10,12,2,5,10,14.75,21
Galveston Airpo/481671034/PM2.5-88101/2,6/17/2019,-1,0,-1,1,8,6,4,3,2,1,6,7,9,6,3,6,4,4,2,0,5,3,5,1,3.5,9
Galveston Airpo/481671034/PM2.5-88101/2,6/18/2019,3,3,2,5,5,4,6,9,7,7,4,4,3,4,5,5,5,5,2,0,4,4,1,3,4.17,9
Galveston Airpo/481671034/PM2.5-88101/2,6/19/2019,4,5,5,4,7,9,8,13,14,13,13,9,11,9,10,3,7,4,7,6,10,10,12,11,8.5,14
Galveston Airpo/481671034/PM2.5-88101/2,6/20/2019,13,11,10,12,8,8,8,12,14,9,13,16,13,16,28,22,20,18,14,14,16,11,13,15,13.92,28
Galveston Airpo/481671034/PM2.5-88101/2,6/21/2019,13,15,14,13,18,14,15,21,23,24,22,23,19,18,18,21,23,21,22,25,18,14,18,19,18.79,25
